f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3242_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3242_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3242_inv.jpg,1649,87
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3246_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3246_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3246_inv.jpg,1649,896
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3248_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3248_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3248_inv.jpg,1649,74
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3251_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3251_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3251_inv.jpg,1649,776
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3254_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3254_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3254_inv.jpg,1649,248
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3258_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3258_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3258_inv.jpg,1649,445
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3261_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3261_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3261_inv.jpg,1649,88
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3267_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3267_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3267_inv.jpg,1649,14
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3268_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3268_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3268_inv.jpg,1649,774
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 001_1649 2021-11-05 Snap-3271_inv.jpg,Ruff 001_1649 2021-11-05 Snap-3271_inv.jpg,001,Ruff 001_1649 2021-11-05 Snap-3271_inv.jpg,1649,703
